[2024-09-16 19:00:31,540: INFO: main: Hello]
[2024-09-17 00:59:20,061: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-17 00:59:20,080: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-17 00:59:20,082: INFO: common: created directory at: artifacts]
[2024-09-17 00:59:20,084: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-17 01:00:07,494: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-17 01:00:07,497: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-17 01:00:07,498: INFO: common: created directory at: artifacts]
[2024-09-17 01:00:07,501: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-17 01:00:40,117: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-17 01:00:40,120: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-17 01:00:40,122: INFO: common: created directory at: artifacts]
[2024-09-17 01:00:40,124: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-17 01:00:40,126: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-17 01:00:55,129: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-20 10:26:28,782: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-09-20 10:26:28,798: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-20 10:26:28,815: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-20 10:26:28,815: INFO: common: created directory at: artifacts]
[2024-09-20 10:26:28,815: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-20 10:26:28,815: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/14HVETyEgVbqx8PX5AIEfRnJrBAxP2d1W/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-20 10:29:42,762: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/14HVETyEgVbqx8PX5AIEfRnJrBAxP2d1W/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-20 10:30:22,124: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
